SIMSES, MARY - THE WEDDING THIEF
SITOMER, ALAN LAWRENCE - NERD GIRLS A CASTROPHE OF NERDISH PROPORTIONS
SIXSMITH, MARTIN - PHILOMENA
SKYE, CHRISTINA - BUTTERFLY COVE
SKYE, CHRISTINA - THE ACCIDENTAL BRIDE
SKYE, CHRISTINA - TO CATCH A THIEF
SLATER, K.L. - THE LIAR
SLATER, K.L. - THE MARRIAGE
SLATER, K.L. - THE SILENT ONES
SLATER, SEAN - THE SURVIVOR
SLAUGHTER, KARIN - PRETTY GIRLS
SLAUGHTER, KARIN - THE SILENT WIFE
SLAUGHTER, KARIN - UNSEEN
SLIMANI, LEILA - THE PERFECT NANNY
SMALE, HOLLY - GEEK GIRL
SMITH, ALEXANDER McCALL - MORALITY FOR BEAUTIFUL GIRLS
SMITH, ALEXANDER McCALL - THE FULL CUPBOARD OF LIFE
SMITH, ALEXANDER McCALL - THE MAN WITH THE SILVER SAAB
SMITH, ALEXANDER McCALL - THE MINOR ADJUSTMENT BEAUTY SALON
SMITH, ANNA - THE DEAD DON'T SLEEP
SMITH, ANNE EASTER - DAUGHTER OF YORK
SMITH, DEBRA WHITE - HEATHER THE DEBUTANTE
SMITH, JOAN - DESTINY'S DREAM
SMITH, KAREN ROSE - MURDER WITH CHERRY TARTS
SMITH, L.J. - THE VAMPIRE DIARIES-THE AWAKENING AND THE STRUGGLE
SMITH, MARK ALLEN - THE INQUISITOR
SMITH, WILBUR - DESERT GOD
SMITH, WILBUR - A TIME TO DIE
SMITH, WILBUR - BLUE HORIZON
SMITH, WILBUR - COURTNEY'S WAR
SMITH, WILBUR - DESERT GOLD
SMITH, WILBUR - PHARAOH
SMITH, WILBUR - PREDATOR
SMITH, WILBUR - RAGE
SMITH, WILBUR - THE TIGER'S PREY
SMTH, WILBUR - VICIOUS CIRCLE
SNOW, JENNIFER - ALASKA FOR CHRISTMAS
SO, ANTHONY VEASNA - AFTERPARTIES
SOHMER, STEVE - PATRIOTS
SOLI, TATIANA - THE LAST GOOD PARADISE
SOLOMONS, NATASHA - HOUSE OF GOLD
SORENSON, JILL - AFTER SHOCK
SORENSON, JILL - BACKWOODS
SOUTHIN, GWENDOLYN - DEATH AS A LAST RESORT
SPARKS, NICHOLAS - NIGHTS IN RODANTHE
SPARKS, NICHOLAS - SAFE HAVEN
SPARKS, NICHOLAS - SEE ME
SPARKS, NICHOLAS - THE LAST SONG
SPARKS, NICHOLAS - TWO BY TWO
SPINDLER, ERICA - JUSTICE FOR SARA
SPINDLER, ERICA - THE FIRST WIFE
SPINDLER, ERICA - WATCH ME DIE
SPINDLER, ERICA -BEAK NECK
SPINELLI, JERRY - SMILES TO GO
ST. CLAIRE, ROXANNE - EDGE OF SIGHT
ST. CLAIRE, ROXANNE - FACE OF DANGER
ST. CLAIRE, ROXANNE - SHIVER OF FEAR
STACEY, SHANNON - CONTROLLED BURN BOSTON FIRE
STACEY, SHANNON - FLARE UP BOSTON FIRE
STACEY, SHANNON - FULLY IGNITED BOSTON FIRE
STACEY, SHANNON - HEAT EXCHANGE BOSTON FIRE
STACEY, SHANNON - HOT RESPONSE BOSTON FIRE
STACEY, SHANNON - UNDER CONTROL BOSTON FIRE
STANLEY, KELLI - CITY OF DRAGONS
STANLEY, MICHAEL - A DEATH IN THE FAMILY
STAPLEY, MARISSA - MATING FOR LIFE
STAUB, WENDY CORSI - BONE WHITE
STAUB, WENDY CORSI - DYING BREATH
STEADMAN, CATHERINE - THE DISAPPEARING ACT
STEEL, D ANIELLE - DADDY'S GIRLS
STEEL, DANIELLE - A GOOD WOMAN
STEEL, DANIELLE - AGAINST ALL ODDS
STEEL, DANIELLE - ALL THAT GLITTERS
STEEL, DANIELLE - BEAUCHAMP HALL
STEEL, DANIELLE - BIG GIRLS
STEEL, DANIELLE - BLUE
STEEL, DANIELLE - CHILD'S PLAY
STEEL, DANIELLE - COMPLICATIONS
STEEL, DANIELLE - DADDY
STEEL, DANIELLE - FAIRYTALE
STEEL, DANIELLE - FALL FROM GRACE
STEEL, DANIELLE - FAMILY TIES
STEEL, DANIELLE - FLYING ANGELS
STEEL, DANIELLE - GOING HOME
STEEL, DANIELLE - HEARTBEAT
STEEL, DANIELLE - IRRESISTIBLE FORCES
STEEL, DANIELLE - JEWELS
STEEL, DANIELLE - LOST AND FOUND
STEEL, DANIELLE - MALICE
STEEL, DANIELLE - MORAL COMPASS
STEEL, DANIELLE - NINE LIVES
STEEL, DANIELLE - NO GREATER LOVE
STEEL, DANIELLE - PAST PERFECT
STEEL, DANIELLE - PRODIGAL SON
STEEL, DANIELLE - RUSHING WATERS
STEEL, DANIELLE - SECOND CHANCE
STEEL, DANIELLE - SECRETS
STEEL, DANIELLE - SILENT NIGHT
STEEL, DANIELLE - SILENT NIGHT (large print book)
STEEL, DANIELLE - SUSPECTS
STEEL, DANIELLE - THE CAST
STEEL, DANIELLE - THE COTTAGE
STEEL, DANIELLE - THE GOOD FIGHT
STEEL, DANIELLE - THE MISTRESS
STEEL, DANIELLE - THE NUMBERS GAME
STEEL, DANIELLE - TURNING POINT
STEEL, DANIELLE - WANDERLUST
STEEL, DANIELLE, - THE AWARD
STEIN, GARTH - A SUDDEN LIGHT
STEPP, LIN - DOWN BY THE RIVER
STEVENS, CHEVY - NEVER LET YOU GO
STIEFVATER, MAGGIE - LINGER
STIMSON, T. J. - PICTURE OF INNOCENCE
STIMSON, TESS - THE WIFE WHO RAN AWAY
STIMSON, TESS - SOFT FOCUS
STOCKETT, KATHRYN - THE HELP
STONE, DAVID - THE ORPHEUS DECEPTION
STONE, LISA - THE DARKNESS WITHIN
STOREY, ERIK - NOTHING SHORT OF DYING
STOTT, REBECCA - THE CORAL THIEF
STROUT, ANTON - DEAD TO ME
STUART, AMY - STILL HERE
STYLES, DAISY - THE BOMB GIRLS' SECRETS
STYLES, DASY - THE BOMB GIRLS
SULLIVAN, ANNA - SECRET HARBOR
SULLIVAN, CONNOR - SLEEPING BEAR
SULLIVAN, MAGGIE - CHRISTMAS ON CORONATION STREET
SUNDIN, SARAH - A DISTANT MELODY
SUNDIN, SARAH - BLUE SKIES TOMORROW
SWAN, KAREN - CHRISTMAS UNDER THE STARS
SWAN, KAREN - THE SUMMER WITHOUT YOU
SWAN, KAREN - TOGETHER BY CHRISTMAS
SWEENEY, LEANN - THE CAT, THE COLLECTOR AND THE KILLER
SWIFT, LISA - WHEN YOU WERE MINE
TAPPER, JAKE - THE HELLFIRE CLUB
TARTT, DONNA - THE GOLDFISH
TAYLOR, BRAD - AMERICAN TRAITOR
TAYLOR, C.L. - HER LAST HOLIDAY
TAYLOR, C.L. - STRANGERS
TAYLOR, D.J. - THE WINDSOR FACTION
TAYLOR, LULU - BEAUTIFUL CREATURES
TAYLOR, LULU - THE WINTER FOLLY
TAYLOR, LULU - THE WINTER SECRET
TENTLER, LESLIE - THE EDGE OF MIDNIGHT
TERRY, CANDIS - PERFECT FOR YOU
TERRY, CANDIS - TANGLED UP IN TINSEL
TESSARO, KATHLEEN - THE FLIRT
THACKERAY, WILLIAM MAKEPEACE - VANITY FAIR
THIEN, MADELEINE - DO NOT SAY WE HAVE NOTHING
